1992,1992,22.07,WRI_CAIT_EESS_CO2_Argentina_Other
1993,1993,22.81,WRI_CAIT_EESS_CO2_Argentina_Other
1994,1994,23.9,WRI_CAIT_EESS_CO2_Argentina_Other
1995,1995,24.54,WRI_CAIT_EESS_CO2_Argentina_Other
1996,1996,25.09,WRI_CAIT_EESS_CO2_Argentina_Other
1997,1997,24.57,WRI_CAIT_EESS_CO2_Argentina_Other
1998,1998,24.6,WRI_CAIT_EESS_CO2_Argentina_Other
1999,1999,26.12,WRI_CAIT_EESS_CO2_Argentina_Other
2000,2000,26.8,WRI_CAIT_EESS_CO2_Argentina_Other
2001,2001,25.52,WRI_CAIT_EESS_CO2_Argentina_Other
2002,2002,24.56,WRI_CAIT_EESS_CO2_Argentina_Other
2003,2003,26.77,WRI_CAIT_EESS_CO2_Argentina_Other
2004,2004,29.31,WRI_CAIT_EESS_CO2_Argentina_Other
2005,2005,31.01,WRI_CAIT_EESS_CO2_Argentina_Other
2006,2006,32.57,WRI_CAIT_EESS_CO2_Argentina_Other
2007,2007,32.92,WRI_CAIT_EESS_CO2_Argentina_Other
2008,2008,37.09,WRI_CAIT_EESS_CO2_Argentina_Other
2009,2009,36.2,WRI_CAIT_EESS_CO2_Argentina_Other
2010,2010,36.21,WRI_CAIT_EESS_CO2_Argentina_Other
2011,2011,33.47,WRI_CAIT_EESS_CO2_Argentina_Other
2012,2012,35.23,WRI_CAIT_EESS_CO2_Argentina_Other
1971,1971,12.62,WRI_CAIT_EESS_CO2_Brazil_Electricity
1972,1972,11.67,WRI_CAIT_EESS_CO2_Brazil_Electricity
1973,1973,13.43,WRI_CAIT_EESS_CO2_Brazil_Electricity
1974,1974,13.97,WRI_CAIT_EESS_CO2_Brazil_Electricity
1975,1975,14.57,WRI_CAIT_EESS_CO2_Brazil_Electricity
1976,1976,15.24,WRI_CAIT_EESS_CO2_Brazil_Electricity
1977,1977,16.27,WRI_CAIT_EESS_CO2_Brazil_Electricity
1978,1978,19.73,WRI_CAIT_EESS_CO2_Brazil_Electricity
1979,1979,20.08,WRI_CAIT_EESS_CO2_Brazil_Electricity
1980,1980,20.28,WRI_CAIT_EESS_CO2_Brazil_Electricity
1981,1981,20.96,WRI_CAIT_EESS_CO2_Brazil_Electricity
1982,1982,20.36,WRI_CAIT_EESS_CO2_Brazil_Electricity
1983,1983,20.43,WRI_CAIT_EESS_CO2_Brazil_Electricity
1984,1984,22.93,WRI_CAIT_EESS_CO2_Brazil_Electricity
1985,1985,23.69,WRI_CAIT_EESS_CO2_Brazil_Electricity
1986,1986,31.18,WRI_CAIT_EESS_CO2_Brazil_Electricity
1987,1987,30.26,WRI_CAIT_EESS_CO2_Brazil_Electricity
1988,1988,29.57,WRI_CAIT_EESS_CO2_Brazil_Electricity
1989,1989,28.17,WRI_CAIT_EESS_CO2_Brazil_Electricity
1990,1990,27.81,WRI_CAIT_EESS_CO2_Brazil_Electricity
1991,1991,27.86,WRI_CAIT_EESS_CO2_Brazil_Electricity
1992,1992,29.67,WRI_CAIT_EESS_CO2_Brazil_Electricity
1993,1993,30.01,WRI_CAIT_EESS_CO2_Brazil_Electricity
1994,1994,29.89,WRI_CAIT_EESS_CO2_Brazil_Electricity
1995,1995,31.36,WRI_CAIT_EESS_CO2_Brazil_Electricity
1996,1996,33.91,WRI_CAIT_EESS_CO2_Brazil_Electricity
1997,1997,38.14,WRI_CAIT_EESS_CO2_Brazil_Electricity
1998,1998,38.93,WRI_CAIT_EESS_CO2_Brazil_Electricity
1999,1999,45.33,WRI_CAIT_EESS_CO2_Brazil_Electricity
2000,2000,50.18,WRI_CAIT_EESS_CO2_Brazil_Electricity
2001,2001,54.91,WRI_CAIT_EESS_CO2_Brazil_Electricity
2002,2002,50.26,WRI_CAIT_EESS_CO2_Brazil_Electricity
2003,2003,50.44,WRI_CAIT_EESS_CO2_Brazil_Electricity
2004,2004,56.2,WRI_CAIT_EESS_CO2_Brazil_Electricity
2005,2005,58.54,WRI_CAIT_EESS_CO2_Brazil_Electricity
2006,2006,58.87,WRI_CAIT_EESS_CO2_Brazil_Electricity
2007,2007,58.12,WRI_CAIT_EESS_CO2_Brazil_Electricity
2008,2008,69.15,WRI_CAIT_EESS_CO2_Brazil_Electricity
2009,2009,58.12,WRI_CAIT_EESS_CO2_Brazil_Electricity
2010,2010,69.65,WRI_CAIT_EESS_CO2_Brazil_Electricity
2011,2011,63.41,WRI_CAIT_EESS_CO2_Brazil_Electricity
2012,2012,81.8,WRI_CAIT_EESS_CO2_Brazil_Electricity
